uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
43225,4271,DJ-0200,0,0,0,0,0,0,0,1,0,0,0,0
43226,4272,BG-0100,4,2,15,0,1,1,9,0,0,0,0,0
43227,4272,GC-0350,0,0,0,0,0,0,0,1,0,0,0,0
43228,4272,SD-0800,0,0,0,0,2,1,2,1,1,7,0,0
43229,4272,CH-5000,0,0,0,0,5,3,16,0,0,0,0,0
43230,4272,TS-2300,0,0,0,0,0,0,0,1,0,0,0,0
43231,4272,VM-0250,0,0,0,0,0,0,0,1,1,8,0,0
43232,4273,MF-1300,0,0,0,0,8,7,37,0,0,0,0,0
43233,4273,RF-0500,3,2,6,0,2,1,6,0,0,0,0,0
43234,4273,BP-1200,0,0,0,0,0,0,0,2,1,1,0,0
43235,4273,ED-0200,0,0,0,0,0,0,0,1,1,5,0,0
43236,4273,TT-0500,2,1,18,0,0,0,0,0,0,0,0,0
43237,4273,GS-0100,0,0,0,0,0,0,0,1,0,0,0,0
43238,4273,MG-0650,0,0,0,0,0,0,0,1,1,18,0,0
43239,4274,JM-2900,1,1,11,0,0,0,0,0,0,0,0,0
43240,4274,CC-3650,0,0,0,0,0,0,0,1,1,11,0,0
43241,4274,JF-2800,0,0,0,0,1,0,2,0,0,0,0,0
43242,4274,JF-1900,2,2,24,0,0,0,0,0,0,0,0,0
43243,4274,MW-0500,0,0,0,0,0,0,0,2,2,24,0,0
43244,4274,TW-1350,0,0,0,0,1,0,3,0,0,0,0,0
43245,4274,IC-0300,0,0,0,0,1,0,-5,0,0,0,0,0
43246,4275,BR-1100,4,3,33,0,1,1,14,0,0,0,0,0
43247,4275,XG-0100,0,0,0,0,0,0,0,1,1,20,0,0
43248,4275,GB-0350,0,0,0,0,1,1,4,1,1,4,0,0
43249,4275,AD-0100,7,2,8,0,0,0,0,0,0,0,0,0
43250,4275,BL-0100,0,0,0,0,0,0,0,3,0,0,0,0
43251,4275,JJ-0725,0,0,0,0,0,0,0,1,1,9,0,0
43252,4275,JH-4025,0,0,0,0,1,0,-2,1,1,4,0,0
43253,4275,CU-0150,0,0,0,0,0,0,0,2,0,0,0,0
43254,4275,DW-3600,0,0,0,0,2,0,2,1,1,4,0,0
43255,4275,AB-3500,0,0,0,0,0,0,0,1,0,0,0,0
43256,4276,DP-2037,6,2,9,0,1,1,6,0,0,0,0,5
43257,4276,DB-5300,0,0,0,0,0,0,0,2,0,0,0,0
43258,4276,EE-0250,0,0,0,0,2,1,3,1,1,1,0,0
43259,4276,BB-4100,0,0,0,0,0,0,0,1,0,0,0,0
43260,4276,MJ-2275,0,0,0,0,3,2,19,0,0,0,0,0
43261,4276,LD-0850,0,0,0,0,1,0,3,0,0,0,0,0
43262,4276,JW-6000,0,0,0,0,0,0,0,2,1,8,0,0
43263,4276,KC-2350,11,4,28,1,0,0,0,0,0,0,0,0
43264,4276,RG-1650,0,0,0,0,0,0,0,1,1,5,0,0
43265,4276,JD-2350,0,0,0,0,0,0,0,3,0,0,0,0
43266,4276,JC-5680,0,0,0,0,0,0,0,1,1,11,0,0
43267,4276,VD-0100,0,0,0,0,0,0,0,1,1,-1,0,0
43268,4276,PG-0100,0,0,0,0,0,0,0,2,0,0,0,0
43269,4276,JR-1150,0,0,0,0,0,0,0,2,1,13,0,0
43270,4276,AM-2850,0,0,0,0,1,1,4,0,0,0,0,0
43271,4277,BO-0650,6,1,5,1,0,0,0,0,0,0,0,0
43272,4277,DH-3950,0,0,0,0,0,0,0,2,0,0,0,0
43273,4277,LM-1150,0,0,0,0,5,2,14,1,1,5,0,0
43274,4277,BM-2350,0,0,0,0,1,0,-2,1,0,0,0,0
43275,4277,JS-7075,0,0,0,0,0,0,0,1,0,0,0,0
43276,4277,JG-3850,0,0,0,0,0,0,0,1,0,0,0,0
43277,4277,AS-1600,4,0,0,0,1,0,2,0,0,0,0,0
43278,4277,CC-3950,0,0,0,0,0,0,0,1,0,0,0,0
43279,4277,SW-0350,0,0,0,0,0,0,0,1,0,0,0,0
43280,4277,TK-0150,0,0,0,0,0,0,0,1,0,0,0,0
43281,4277,JM-0200,0,0,0,0,0,0,0,1,0,0,0,0
43282,4278,LB-0500,0,0,0,0,4,1,10,0,0,0,0,0
43283,4278,JG-0650,5,4,50,0,0,0,0,0,0,0,0,0
43284,4278,DA-0900,0,0,0,0,0,0,0,2,2,22,0,0
43285,4278,JW-2550,0,0,0,0,0,0,0,1,0,0,0,0
43286,4278,MB-1800,0,0,0,0,0,0,0,1,1,20,0,0
43287,4278,JE-0100,0,0,0,0,0,0,0,2,1,8,0,0
