player,fname,lname,pname,pos1,pos2,height,weight,yob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,start,cteam,posd,jnum,dcp
AM-3075,Aaron,Murray,A.Murray,QB,,73,207,1990,4.84,0,0,0,0,0,30.625,9.125,163,Georgia,Southeastern (SEC),2014,PHI,PS,0,2
AM-3100,Adrian,Murrell,A.Murrell,RB,,71,211,1970,0,0,0,0,0,0,0,0,120,West Virginia,Big East,1993,INA,INA,0,0
AN-0050,Aaron,Neary,A.Neary,OL,,75,287,1992,5.15,26,28.5,104,4.47,7.53,0,0,0,Eastern Washington,Big Sky,2016,PHI,PS,0,4
AN-0100,Andre,Neblett,A.Neblett,DL,DB,72,295,1988,4.99,32,30,109,4.52,7.57,0,0,0,Temple,Mid-American (MAC),2010,INA,INA,0,0
AN-0200,A.J.,Nicholson,A.Nicholson,LB,,72,240,1983,4.88,25,0,118,4.46,7.34,0,0,157,Florida State,Atlantic Coast (ACC),2006,INA,INA,0,0
AN-0300,Adam,Nissley,A.Nissley,TE,,78,267,1988,4.83,40,30,110,4.22,7.21,0,0,0,Central Florida,Conference USA (C-USA),2012,INA,INA,0,0
AN-0400,Andrew,Norwell,A.Norwell,OL,,77,320,1991,5.31,22,28,105,4.93,8.09,0,0,0,Ohio State,Big Ten,2014,CAR,LG,68,1
AO-0100,Anthony,Oakley,A.Oakley,OL,,76,295,1981,0,0,0,0,0,0,0,0,0,Western Kentucky,Missouri Valley,2007,INA,INA,0,0
AO-0200,Antwan,Odom,A.Odom,DL,,76,277,1981,4.71,21,37,114,4.44,7.3,0,0,57,Alabama,Southeastern (SEC),2004,INA,INA,0,0
AO-0250,Alec,Ogletree,A.Ogletree,LB,,74,242,1991,4.7,20,33.5,122,4.39,7.11,0,0,30,Georgia,Southeastern (SEC),2013,LA,MLB,52,1
AO-0300,Adewale,Ogunleye,A.Ogunleye,DL,,76,260,1977,0,0,0,0,0,0,0,0,0,Indiana,Big Ten,2001,INA,INA,0,0
AO-0350,Adewale,Ojomo,A.Ojomo,DL,,76,270,1988,4.91,23,31,112,4.63,7.91,0,0,0,Miami (FL),Atlantic Coast (ACC),2012,INA,INA,0,0
AO-0370,Alex,Okafor,A.Okafor,LB,DL,76,264,1991,4.91,21,31,112,4.43,7.26,0,0,103,Texas,Big 12,2013,ARI,SAM,57,2
AO-0400,Amobi,Okoye,A.Okoye,DL,,74,315,1987,5.07,29,30,111,4.44,7.46,0,0,10,Louisville,Big East,2007,INA,INA,0,0
AO-0500,Andre,O'Neal,A.O'Neal,LB,,73,235,1975,4.72,16,34,114,4.24,7.3,0,0,0,Marshall,Mid-American (MAC),2000,INA,INA,0,0
AO-0550,Andrew,Opoku,A.Opoku,WR,,76,225,1990,4.67,17,35,114,4.36,7.03,0,0,0,Delaware,Colonial Athletic (CAA),2016,INA,INA,0,0
AO-0600,Akwasi,Owusu-Ansah,A.Owusu-Ansah,DB,LB,72,207,1988,4.32,21,35.5,120,4.19,6.84,0,0,126,Indiana (PA),,2010,INA,INA,0,0
AP-0100,Anton,Palepoi,A.Palepoi,DL,,75,283,1978,4.81,24,33.5,114,4.27,7.46,0,0,60,UNLV,Mountain West (MWC),2002,INA,INA,0,0
AP-0200,Ashlee,Palmer,A.Palmer,LB,,73,236,1986,4.59,0,0,0,0,0,0,0,0,Mississippi,Southeastern (SEC),2009,INA,INA,0,0
AP-0300,Anthony,Parker,A.Parker,DB,,73,200,1975,4.39,8,31,113,4.27,7.56,0,0,99,Weber State,Big Sky,2000,INA,INA,0,0
AP-0350,Alex,Parsons,A.Parsons,OL,,76,300,1987,4.93,25,28.5,106,4.56,7.56,0,0,0,USC,Pacific 12,2011,INA,INA,0,0
AP-0370,Austin,Pasztor,A.Pasztor,OL,,79,308,1990,5.42,24,30,113,4.63,7.54,0,0,0,Virginia,Atlantic Coast (ACC),2012,CLE,RT,67,1
AP-0385,A.J.,Pataiali'i,A.Pataiali'i,DL,,75,307,1992,5.07,29,31.5,108,5.03,8.3,0,0,0,Utah State,Mountain West (MWC),2014,INA,INA,0,0
AP-0392,Andrew,Peacock,A.Peacock,WR,,69,195,1991,4.73,17,38,121,4.33,7,0,0,0,Appalachian State,Southern,2014,INA,INA,0,0
AP-0400,Alvin,Pearman,A.Pearman,RB,,69,208,1982,4.63,24,35.5,120,4.06,6.91,0,0,127,Virginia,Atlantic Coast (ACC),2005,INA,INA,0,0
AP-0450,Andrus,Peat,A.Peat,OL,,79,313,1993,5.08,0,31,105,4.62,8.01,0,0,13,Stanford,Pacific 12,2015,NO,LG,75,1
AP-0500,Antwan,Peek,A.Peek,LB,DL,75,237,1979,4.65,21,37,125,4.35,7.07,0,0,67,Cincinnati,Conference USA (C-USA),2003,INA,INA,0,0
AP-0600,Antonio,Perkins,A.Perkins,DB,,71,188,1982,4.49,10,40,126,4.07,7.17,0,0,103,Oklahoma,Big 12,2005,INA,INA,0,0
AP-0700,Adrian,Peterson,A.Peterson,RB,,73,217,1985,4.4,0,38.5,127,4.4,7.09,32.25,9.5,7,Oklahoma,Big 12,2007,MIN,RB,28,4
AP-0800,Adrian,Peterson,A.Peterson,RB,,70,210,1979,4.68,14,34,119,4.6,7.59,0,0,199,Georgia Southern,Southern,2002,INA,INA,0,0
AP-0900,Austin,Pettis,A.Pettis,WR,,75,209,1988,4.56,14,33.5,120,3.88,6.68,31.75,9.75,78,Boise State,Western Athletic,2011,INA,INA,0,0
AP-1000,Aaron,Pettrey,A.Pettrey,K,,73,180,1987,4.94,0,0,0,0,0,0,0,0,Ohio State,Big Ten,2010,INA,INA,0,0
AP-1050,Adrian,Phillips,A.Phillips,DB,,71,201,1992,4.59,13,35.5,115,4.29,7.1,0,0,0,Texas,Big 12,2014,SD,SS,31,2
AP-1075,Andy,Phillips,A.Phillips,OL,,75,306,1991,5.05,26,30,110,4.75,7.63,0,0,0,Central Michigan,Mid-American (MAC),2015,INA,INA,0,0
AP-1100,Anwar,Phillips,A.Phillips,DB,,71,185,1982,4.46,10,36,122,4.09,6.8,0,0,0,Penn State,Big Ten,2008,INA,INA,0,0
AP-1200,Antonio,Pierce,A.Pierce,LB,,73,240,1978,0,0,0,0,0,0,0,0,0,Arizona,Pacific 10,2001,INA,INA,0,0
AP-1300,Artose,Pinner,A.Pinner,RB,,70,232,1978,4.68,0,0,0,0,0,0,0,99,Kentucky,Southeastern (SEC),2003,INA,INA,0,0
AP-1400,Andrew,Pinnock,A.Pinnock,RB,,70,260,1980,4.62,22,0,0,0,0,0,0,229,South Carolina,Southeastern (SEC),2003,INA,INA,0,0
AP-1500,Antonio,Pittman,A.Pittman,RB,,71,207,1985,4.4,16,35.5,123,4.16,6.84,0,0,107,Ohio State,Big Ten,2007,INA,INA,0,0
AP-1600,Anthony,Pleasant,A.Pleasant,DL,,77,280,1968,0,0,0,0,0,0,0,0,73,Tennessee State,Ohio Valley,1990,INA,INA,0,0
AP-1700,Ahmed,Plummer,A.Plummer,DB,,72,191,1976,4.43,0,0,0,0,0,0,0,24,Ohio State,Big Ten,2000,INA,INA,0,0
AP-1800,Adam,Podlesh,A.Podlesh,K,,71,209,1983,4.54,0,0,0,0,0,0,0,101,Maryland,Atlantic Coast (ACC),2007,INA,INA,0,0
AP-1900,Anthony,Poindexter,A.Poindexter,DB,,72,210,1976,4.6,0,0,0,0,0,0,0,216,Virginia,Atlantic Coast (ACC),2000,INA,INA,0,0
AP-2000,Alvin,Porter,A.Porter,DB,,71,175,1977,0,0,0,0,0,0,0,0,0,Oklahoma State,Big 12,2001,INA,INA,0,0
