pid,psr,trg,loc,yds,comp,succ,spk,dfb
698067,AR-1300,JN-0900,SR,1,1,0,0,
698068,AR-1300,DA-0212,SL,0,0,0,0,
698069,AR-1300,RC-1500,SL,0,1,0,0,
698073,BB-2425,TY-0150,SM,0,0,0,0,
698074,BB-2425,AH-3900,DM,38,1,1,0,
698079,BB-2425,AR-1250,DL,0,0,0,0,
698080,BB-2425,AR-1250,SL,0,0,0,0,
698084,AR-1300,JC-4300,SL,7,1,1,0,
698086,AR-1300,RC-1500,SL,4,1,1,0,
698088,AR-1300,JA-0050,SL,8,1,1,0,
698090,AR-1300,RR-1050,SL,0,0,0,0,
698095,AR-1300,RC-1500,SL,0,0,0,0,
698104,BB-2425,AR-1250,SL,22,1,1,0,
698108,BB-2425,AR-1250,SR,4,1,1,0,
698109,BB-2425,AR-1250,DR,0,0,0,0,DR-0450
698110,BB-2425,TY-0150,SR,0,0,0,0,
698111,BB-2425,AR-1250,SL,7,1,0,0,
698112,BB-2425,AR-1250,SM,9,1,1,0,
698114,BB-2425,AR-1250,DM,0,0,0,0,HC-0050
698122,AR-1300,JN-0900,SL,0,0,0,0,
698124,BB-2425,ML-1500,SM,11,1,1,0,
698126,BB-2425,AR-1250,DL,0,0,0,0,
698127,BB-2425,TY-0150,SL,6,1,0,0,
698130,BB-2425,TY-0150,SM,6,1,1,0,
698131,BB-2425,AR-1250,DM,22,1,1,0,
698132,BB-2425,AR-1250,DL,0,0,0,0,QR-0100
698133,BB-2425,RG-1812,SM,9,1,1,0,
698134,BB-2425,RG-1812,SM,0,0,0,0,
698135,BB-2425,AH-3900,SR,-1,1,0,0,
698141,MM-0912,TS-1262,DR,0,0,0,0,
698142,MM-0912,TS-1262,SM,12,1,1,0,
698144,MM-0912,DW-0500,SR,0,0,0,0,BR-1000
698146,MM-0912,AJ-0900,SL,0,0,0,0,
698149,SH-1100,CJ-1450,SL,5,1,0,0,
698150,SH-1100,SD-0537,SL,0,0,0,0,
698153,MM-0912,DH-2450,SR,29,1,1,0,
698155,MM-0912,RM-1500,SR,11,1,1,0,
698158,MM-0912,DW-0500,SL,0,0,0,0,
698161,SH-1100,SD-0537,SM,8,1,1,0,
698163,SH-1100,SD-0537,SR,12,1,1,0,
698166,SH-1100,KR-1200,SR,10,1,1,0,
698167,SH-1100,KR-1200,SR,0,0,0,0,SS-2450
698168,SH-1100,SD-0537,SR,13,1,1,0,
698169,SH-1100,SD-0537,DM,0,0,0,0,
698178,MM-0912,DM-4300,SL,6,1,1,0,
698179,MM-0912,DH-2450,SL,12,1,1,0,
698182,MM-0912,TS-1262,SL,9,1,1,0,
698186,SH-1100,KR-1200,SR,16,1,1,0,
698187,SH-1100,KR-1200,SM,0,0,0,0,
698189,SH-1100,AT-0350,SL,2,1,0,0,
698190,SH-1100,AT-0350,DM,21,1,0,0,
698192,MM-0912,DW-0500,SL,6,1,1,0,
698193,MM-0912,TS-1262,SR,12,1,1,0,
698194,MM-0912,DM-4300,SR,5,1,1,0,
698196,MM-0912,HD-0300,SL,16,1,1,0,
698198,MM-0912,TS-1262,SR,0,0,0,0,
698199,MM-0912,TS-1262,SL,8,1,1,0,
698200,MM-0912,AJ-0900,DR,0,0,0,0,
698201,MM-0912,DM-4300,SR,0,0,0,0,
698202,MM-0912,DM-4300,SL,14,1,1,0,
698203,MM-0912,DM-4300,SR,0,0,0,0,
698204,MM-0912,DM-4300,SR,6,1,1,0,
698207,SH-1100,JM-3450,SR,0,0,0,0,
698208,SH-1100,CJ-1450,SL,0,0,0,0,
698209,SH-1100,SD-0537,SR,13,1,1,0,
698210,SH-1100,CJ-1450,SR,0,0,0,0,JM-2800
698211,SH-1100,KR-1200,DM,21,1,1,0,
698212,SH-1100,AT-0350,SM,0,0,0,0,BM-0800
698213,SH-1100,JM-3450,SM,3,1,0,0,
698216,SH-1100,CJ-1450,DL,0,0,0,0,
698218,SH-1100,CJ-1450,SL,0,0,0,0,
698221,MM-0912,RM-1500,SL,6,1,1,0,
698226,SH-1100,AT-0350,SR,15,1,1,0,
698228,SH-1100,SD-0537,SM,14,1,1,0,
698229,SH-1100,SD-0537,SR,10,1,1,0,
698232,SH-1100,AP-0700,SR,0,0,0,0,
698238,MM-0912,TS-1262,DM,17,1,1,0,
698239,MM-0912,AJ-0900,SL,16,1,1,0,
698242,MM-0912,HD-0300,SL,5,1,1,0,
698243,MM-0912,AJ-0900,SR,7,1,1,0,
698244,MM-0912,HD-0300,SL,0,0,0,0,
698249,MM-0912,HD-0300,SR,0,0,0,0,
698250,MM-0912,RM-1500,SL,0,0,0,0,
698252,SH-1100,AP-0700,SR,0,0,0,0,
698254,SH-1100,AT-0350,DL,16,1,1,0,
698256,SH-1100,CP-0750,SR,6,1,1,0,
698257,SH-1100,KR-1200,SL,18,1,1,0,
698259,SH-1100,KR-1200,SR,0,0,0,0,DS-1400
698260,SH-1100,KR-1200,SR,0,0,0,0,
698266,MM-0912,TS-1262,SL,15,1,1,0,
698271,SH-1100,CJ-1450,DL,0,0,0,0,
698273,MM-0912,TS-1262,DL,0,0,0,0,
698275,MM-0912,TS-1262,DL,0,0,0,0,
698279,SH-1100,SD-0537,DL,33,1,1,0,
698285,MM-0912,DW-0500,SR,10,1,1,0,
698286,MM-0912,AJ-0900,DR,0,0,0,0,
698287,MM-0912,AJ-0900,SM,0,0,0,0,
698288,MM-0912,DW-0500,SM,26,1,1,0,
698289,MM-0912,AJ-0900,SR,7,1,1,0,
698291,MM-0912,RM-1500,SR,9,1,1,0,
698292,MM-0912,TS-1262,SL,3,1,1,0,
698293,MM-0912,HD-0300,SL,0,0,0,0,
698294,MM-0912,DM-4300,SM,4,1,1,0,
698299,DB-3800,CF-0650,DL,0,0,0,0,
698300,DB-3800,BC-2325,SL,0,0,0,0,
698303,DC-0725,TJ-2400,SR,1,1,0,0,
698305,DC-0725,AC-2350,SR,0,1,0,0,
698308,DB-3800,BC-2325,SL,0,0,0,0,SS-1700
698309,DB-3800,MI-0100,SM,9,1,1,0,
698312,DB-3800,WS-0925,SM,12,1,1,0,
698314,DB-3800,WS-0925,SR,16,1,1,0,
698316,DB-3800,MI-0100,SL,20,1,1,0,
698317,DB-3800,JK-2200,SL,0,0,0,0,
698319,DB-3800,,NL,0,0,0,0,
698324,DC-0725,AC-2350,SL,4,1,0,0,
698325,DC-0725,JR-2075,SL,8,1,1,0,
698326,DC-0725,AC-2350,SM,35,1,1,0,
698328,DC-0725,AC-2350,DL,34,1,1,0,
698333,DB-3800,WS-0925,SL,6,1,1,0,
698336,DB-3800,WS-0925,DL,49,1,1,0,
698337,DB-3800,BC-2325,SR,4,1,1,0,
698338,DB-3800,TC-0050,SR,0,0,0,0,
698339,DB-3800,BC-2325,SM,3,1,0,0,
698341,DB-3800,WS-0925,SL,1,1,1,0,
698346,DC-0725,AC-2350,SR,0,0,0,0,PW-0850
698350,DC-0725,MC-2900,SR,0,0,0,0,
698353,DB-3800,MT-0875,SL,11,1,1,0,
698357,DB-3800,BC-2325,SR,16,1,1,0,
698358,DB-3800,MT-0875,SL,25,1,1,0,
