gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,olid
4257,697274,DEN,CAR,PASS,2,37,3,7,1,7,17,3,3,2,9,15,1,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697275,DEN,CAR,PASS,3,33,3,6,24,7,17,3,3,3,14,10,1,0,1,0,0,1,0,0,0,0,0,0,2034
4257,697276,CAR,DEN,PUNT,0,12,3,5,51,17,7,3,3,4,9,15,1,0,0,0,0,0,0,0,0,0,0,0,0
4257,697277,CAR,DEN,PASS,1,8,3,5,39,17,7,3,3,1,10,39,2,0,1,0,0,0,0,0,0,0,0,0,2035
4257,697278,CAR,DEN,PASS,2,4,3,5,31,17,7,3,3,2,10,39,2,0,1,0,0,0,0,0,0,0,0,0,2035
4257,697279,CAR,DEN,NOPL,2,31,3,5,27,17,7,3,3,3,10,39,2,0,0,0,0,0,0,1,0,0,0,0,2035
4257,697280,CAR,DEN,NOPL,2,4,3,4,56,17,7,3,3,3,25,24,2,0,0,0,0,0,0,1,0,0,0,0,2035
4257,697281,CAR,DEN,PASS,3,42,3,4,52,17,7,3,3,3,30,19,1,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697282,DEN,CAR,PUNT,0,12,3,4,10,7,17,3,3,4,17,32,2,0,0,0,0,0,0,0,0,0,0,0,0
4257,697283,DEN,CAR,PASS,1,39,3,3,58,7,17,3,3,1,10,22,2,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697284,DEN,CAR,RUSH,2,35,3,3,19,7,17,3,3,2,4,28,2,1,0,0,0,1,0,0,0,0,0,0,2034
4257,697285,DEN,CAR,PASS,3,31,3,2,44,7,17,3,3,1,10,39,2,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697286,DEN,CAR,PASS,4,35,3,2,13,7,17,3,3,2,12,37,2,1,1,0,0,1,0,0,0,0,0,0,2034
4257,697287,DEN,CAR,RUSH,5,41,3,1,38,7,17,3,3,1,10,50,3,1,0,0,0,1,0,0,0,0,0,0,2034
4257,697288,DEN,CAR,PASS,6,36,3,0,57,7,17,3,3,1,10,60,4,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697289,DEN,CAR,PASS,7,30,3,0,21,7,17,3,3,2,4,66,4,1,1,0,0,1,0,1,0,0,0,0,2034
4257,697290,DEN,CAR,PASS,8,10,4,15,0,7,17,3,3,1,10,75,4,1,1,0,7,0,0,0,0,0,0,0,2034
4257,697291,DEN,CAR,FGXP,8,3,4,14,50,14,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697292,CAR,DEN,KOFF,0,6,4,14,50,17,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697293,CAR,DEN,RUSH,1,35,4,14,50,17,14,3,3,1,10,25,2,0,0,0,0,1,0,0,0,0,0,0,2035
4257,697294,CAR,DEN,PASS,2,8,4,14,15,17,14,3,3,2,4,31,2,0,1,0,0,0,0,1,1,0,0,0,2035
4257,697295,DEN,CAR,RUSH,1,42,4,14,7,14,17,3,3,1,10,77,4,0,0,0,0,1,0,0,0,0,0,0,2034
