uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
88658,4260,MF-1300,0,0,0,0,0,22,9,96,0,7,5,59,0,0,0,0,0,0,0,54,15.5,18,20.5,1,9,2016,NYJ,RB,22,1
88659,4260,BM-0300,0,0,0,0,0,0,0,0,0,8,3,32,0,0,0,0,0,10,0,68,3.2,4.7,6.2,1,11,2016,NYJ,LWR,15,1
88660,4260,AE-1037,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,1,1,2016,CIN,RWR,12,3
88661,4260,CU-0150,0,0,0,0,0,0,0,0,0,5,2,59,0,0,0,0,0,0,0,53,5.9,6.9,7.9,1,2,2016,CIN,TE,87,2
88662,4260,TB-2075,0,0,0,0,0,0,0,0,0,3,2,24,0,0,0,0,0,0,0,44,2.4,3.4,4.4,1,1,2016,CIN,RWR,83,2
88663,4260,BP-1200,0,0,0,0,0,4,3,41,0,4,2,7,0,0,0,0,0,0,0,17,4.8,5.8,6.8,1,6,2016,NYJ,RB,29,2
88664,4260,GB-0350,0,0,0,0,0,5,2,25,0,4,2,5,0,0,0,0,0,0,0,28,3,4,5,1,4,2016,CIN,RB,25,2
88665,4260,BL-0100,0,0,0,0,0,0,0,0,0,4,4,91,0,0,0,0,0,0,0,55,9.1,11.1,13.1,1,7,2016,CIN,RWR,11,1
88666,4260,ED-0200,0,0,0,0,0,0,0,0,0,7,2,37,1,0,0,0,0,15,0,70,9.7,10.7,11.7,1,7,2016,NYJ,RWR,87,1
88667,4260,JW-6545,0,0,0,0,0,2,1,-6,0,1,1,7,0,0,0,0,0,0,0,5,0.1,0.6,1.1,1,3,2016,CIN,LWR,86,2
88668,4261,RM-1200,0,0,0,0,0,22,14,77,1,0,0,0,0,0,0,0,0,0,0,37,13.7,13.7,13.7,1,7,2016,PHI,RB,24,1
88669,4261,KB-0350,0,0,0,0,0,4,3,42,0,0,0,0,0,0,0,0,0,0,0,6,4.2,4.2,4.2,1,4,2016,PHI,RB,34,3
88670,4261,CW-1425,37,22,278,0,2,2,0,1,0,0,0,0,0,0,0,0,0,5,0,77,19.22,19.22,19.22,1,1,2016,PHI,QB,11,1
88671,4261,JM-1550,0,0,0,0,0,0,0,0,0,14,7,114,1,0,0,0,0,0,0,71,17.4,20.9,27.4,1,3,2016,PHI,SWR,81,1
88672,4261,ZE-0100,0,0,0,0,0,0,0,0,0,7,6,58,0,0,0,0,0,0,0,60,5.8,8.8,11.8,1,4,2016,PHI,TE,86,2
