pid,punter,pgro,pnet,ptb,pr,pry,pfc
697940,BC-2000,58,50,0,DS-3300,8,0
697951,DJ-2800,32,32,0,,0,0
697990,BN-0700,58,58,0,,0,0
697994,JS-1050,56,42,0,RG-1812,14,0
698003,JS-1050,48,48,0,RG-1812,0,1
698007,BN-0700,67,67,0,,0,0
698012,JS-1050,46,46,0,,0,0
698123,JS-1050,34,34,0,,0,0
698147,BK-0700,36,16,1,,0,0
698151,JL-2250,51,37,0,MM-0900,14,0
698184,BK-0700,35,35,0,MS-1300,0,1
698191,JL-2250,36,36,0,MM-0900,0,1
698224,BK-0700,44,44,0,MS-1300,0,0
698251,BK-0700,52,54,0,MS-1300,-2,0
698272,JL-2250,26,26,0,MM-0900,0,1
698276,BK-0700,64,52,0,MS-1300,12,0
698351,MK-0760,62,42,1,,0,0
698366,MK-0760,41,35,0,MM-5750,6,0
698376,TM-3300,44,34,0,TC-0385,10,0
698388,MK-0760,53,42,0,MM-5750,11,0
698393,TM-3300,51,25,0,JR-2075,26,0
698401,MK-0760,43,43,0,,0,0
698502,DC-3200,45,25,1,,0,0
698522,DC-3200,38,31,0,TB-1060,7,0
698538,DC-3200,50,50,0,,0,0
698548,DK-0350,31,31,0,,0,0
698554,DC-3200,25,25,0,,0,0
698562,DK-0350,35,16,0,TH-1750,19,0
698566,DC-3200,39,38,0,TB-1060,1,0
698617,DK-0350,47,33,0,TH-1750,14,0
698634,DK-0350,17,17,0,DA-0350,0,0
698646,DK-0350,48,35,0,TH-1750,13,0
698662,MB-3000,34,34,0,,0,0
698681,BA-0850,45,32,0,EW-0500,13,0
698685,MB-3000,49,49,0,AH-3862,0,1
698716,MB-3000,35,35,0,AH-3862,0,1
698720,BA-0850,52,52,0,EW-0500,0,1
698757,MB-3000,35,35,0,AH-3862,0,1
698782,BA-0850,52,52,0,EW-0500,0,1
698789,MB-3000,40,40,0,AH-3862,0,1
698793,BA-0850,57,48,0,EW-0500,9,0
698814,BA-0850,41,41,0,EW-0500,0,1
698828,JR-3700,37,37,0,JL-0215,0,1
698832,MD-0125,43,43,0,TL-1025,0,1
698857,JR-3700,42,35,0,JG-2950,7,0
698861,MD-0125,46,26,0,TL-1025,20,0
698879,JR-3700,48,32,0,JL-0215,16,0
698884,MD-0125,57,37,1,,0,0
698889,JR-3700,49,44,0,JG-2950,5,0
698894,MD-0125,45,45,0,TL-1025,0,1
698910,MD-0125,53,40,0,TL-1025,13,0
698917,JR-3700,50,34,0,JG-2950,16,0
698921,MD-0125,45,23,0,TL-1025,22,0
698931,MD-0125,38,38,0,TL-1025,0,1
698956,JR-3700,27,27,0,JL-0215,0,1
698994,PM-0300,48,28,1,,0,0
699009,PM-0300,52,53,0,AR-1100,-1,0
699013,SM-0650,57,53,0,QB-0250,4,0
699017,PM-0300,47,47,0,,0,0
699071,SM-0650,56,56,0,QB-0250,0,1
699088,SM-0650,59,50,0,QB-0250,9,0
699092,PM-0300,48,48,0,,0,0
