pid,rb,te,drp,mbt,yac
697739,1,1,0,0,0
697740,1,1,0,0,0
697741,1,1,0,0,2
697743,1,1,0,0,0
697744,1,0,0,1,22
697745,1,1,0,0,0
697746,1,1,0,0,11
697747,1,1,0,0,0
697749,1,2,0,0,29
697750,1,2,0,0,0
697751,1,1,0,0,0
697752,1,1,0,0,10
697753,1,1,0,0,0
697754,1,1,0,0,0
697755,1,1,0,0,0
697756,1,1,0,0,0
697757,1,1,0,3,0
697760,1,2,0,1,0
697761,1,2,0,0,0
697762,1,1,0,1,0
697763,1,1,0,0,0
697764,1,1,0,0,0
697765,1,0,0,1,0
697766,1,1,0,0,0
697767,1,2,0,2,0
697768,1,1,0,0,0
697769,2,3,0,0,0
697770,1,1,0,0,0
697773,1,1,0,1,0
697774,1,1,0,0,3
697775,1,1,0,1,0
697776,1,1,0,0,0
697777,1,1,0,0,0
697780,1,1,0,0,0
697781,1,1,0,0,10
697782,1,2,0,0,0
697783,1,1,0,0,0
697784,1,1,0,0,6
697785,1,1,0,0,0
697786,1,1,0,1,4
697787,1,0,0,0,0
697790,1,1,0,0,5
697791,1,1,0,1,0
697792,1,1,0,2,7
697793,1,1,0,2,0
697794,1,1,0,1,7
697795,1,1,0,1,0
697796,1,1,0,0,0
697797,1,1,0,1,7
697800,1,0,1,0,0
697801,1,0,0,0,0
697802,1,0,0,0,0
697803,0,0,0,0,0
697805,1,1,0,0,0
697806,1,1,0,0,0
697808,1,1,1,0,0
697809,1,1,0,0,0
697810,1,2,0,0,11
697811,1,0,0,0,0
697812,1,2,0,0,12
697813,1,2,0,0,0
697814,0,1,0,0,0
697817,2,1,1,0,0
697818,2,1,0,0,0
697819,2,1,0,0,0
697821,1,2,0,0,0
697822,1,1,0,0,0
697824,1,1,0,0,0
697825,1,3,0,0,0
697827,1,1,0,0,0
697829,1,1,0,0,0
697830,1,1,0,0,0
697831,1,1,0,0,0
697833,1,2,0,1,0
697834,1,1,0,0,0
697835,1,1,0,0,0
697836,1,1,0,0,0
697837,1,2,0,0,0
697839,2,1,0,0,10
697840,1,2,0,0,0
697841,1,1,1,0,0
697842,1,1,0,0,0
697843,1,2,0,0,10
697844,1,1,0,0,0
697845,1,1,0,0,0
697846,1,2,0,0,0
697849,1,2,0,0,0
697850,1,2,1,0,0
697851,1,1,0,0,18
697853,1,1,0,0,0
697854,1,1,0,0,0
697855,0,0,0,0,0
697857,2,2,0,0,0
697860,1,2,0,0,0
697861,1,2,0,0,0
697862,1,1,0,0,0
697864,1,2,0,0,0
697865,2,1,0,0,0
697866,2,1,0,0,0
697867,1,1,0,1,9
697868,1,1,0,1,0
697869,1,2,0,0,0
697870,1,1,0,0,0
697871,1,2,0,0,0
697872,1,1,0,0,0
697873,1,1,0,0,0
697874,1,1,0,0,4
697875,1,1,0,0,2
697876,1,1,0,0,1
697877,1,1,0,1,20
697878,1,1,0,0,0
697879,2,0,0,0,0
697880,1,1,1,0,0
697883,1,1,0,0,0
697884,1,1,0,0,0
697885,1,1,0,0,0
697886,1,1,0,1,14
697888,1,1,0,0,7
697889,1,1,0,0,0
697890,1,1,0,0,0
697891,1,1,0,0,0
697894,1,1,0,0,0
697895,1,1,0,0,0
697896,1,1,0,0,0
697897,1,3,0,0,0
697899,1,1,1,0,0
697900,1,1,0,0,1
697902,1,1,0,0,0
697904,1,3,0,0,0
697905,0,1,0,0,5
697906,1,1,0,1,0
697907,1,1,0,0,3
697908,1,1,0,0,0
697909,0,1,0,0,0
697910,1,1,1,0,0
697911,0,1,0,0,0
697912,1,1,0,0,2
697915,1,1,0,0,0
697916,1,3,0,0,0
697918,1,2,0,0,0
697919,1,1,0,0,0
697921,1,2,0,0,2
697922,1,2,0,0,0
697923,1,0,0,0,0
697924,1,1,0,0,0
697925,1,1,0,0,0
697926,1,1,0,0,0
697928,2,1,0,0,3
697929,1,1,0,0,0
697930,1,1,0,0,0
697933,1,1,0,0,0
697934,1,1,0,1,0
697935,1,1,0,0,15
697937,1,1,1,0,0
697938,1,3,0,0,0
697939,1,1,0,1,0
697941,1,1,0,0,4
697942,1,1,0,1,0
697943,1,1,0,0,0
697944,1,0,0,0,0
697945,1,1,0,0,0
697946,1,2,0,0,0
697947,1,1,0,0,5
697950,1,1,0,0,0
697952,1,1,0,0,0
697953,1,1,0,0,0
697954,1,1,0,0,0
697955,1,1,1,0,0
697956,1,3,0,0,0
697957,1,2,0,0,0
697958,2,3,0,0,0
697959,2,3,0,0,0
697961,2,3,0,0,0
697964,1,1,0,0,0
697965,1,1,0,0,0
697966,1,1,0,0,0
697968,1,2,0,0,0
697969,1,2,0,0,0
697970,1,2,0,0,0
697971,1,1,0,0,0
697972,1,1,0,0,0
697973,1,1,0,0,0
697974,1,1,0,0,0
697975,1,1,0,0,1
697976,1,1,0,1,0
697978,1,1,0,0,0
697979,1,1,0,0,0
697982,1,3,0,0,0
697983,1,2,0,0,0
697986,1,2,0,0,10
697987,1,1,0,1,0
697988,1,1,0,0,4
697989,1,1,0,0,0
697991,1,1,0,0,0
697992,1,1,0,0,0
697993,1,1,0,0,0
697995,1,1,0,1,41
697996,1,2,0,0,0
697997,1,1,0,1,0
698000,2,3,0,0,0
698001,2,3,0,0,0
698002,1,1,1,0,0
698004,1,1,0,0,0
698005,1,1,0,0,0
698006,1,1,0,0,2
698008,2,0,0,0,0
698009,1,1,0,0,0
698011,1,1,0,0,0
698014,1,1,0,0,0
698015,1,1,1,0,0
698016,0,2,0,1,10
698017,1,1,0,0,1
698018,1,1,0,0,3
698019,1,1,0,0,0
698020,1,2,0,0,11
698021,1,1,0,0,0
698022,1,1,0,2,0
698023,1,3,0,0,0
698024,1,1,0,0,5
698027,1,1,0,0,0
698028,1,1,0,0,0
698029,1,1,0,0,0
698030,1,1,0,0,0
698031,1,1,0,0,6
698032,1,1,0,0,7
698033,1,1,0,2,20
698034,1,1,0,0,0
698035,1,1,0,0,0
698038,1,2,0,0,0
698039,1,1,0,0,7
698040,1,1,0,0,1
698041,1,1,0,0,5
698042,1,1,0,0,0
698043,1,1,0,0,0
698044,1,1,0,0,0
698048,1,1,0,0,5
698049,1,1,0,0,6
698050,1,1,0,0,0
698051,1,1,0,0,0
698052,1,1,0,0,0
698055,2,2,0,0,0
698058,1,1,0,0,0
698059,1,1,0,0,4
698060,1,1,0,0,0
698061,1,1,0,0,0
698062,1,1,0,0,0
698063,1,1,0,0,0
698064,1,1,0,0,0
698065,1,1,0,0,0
698066,1,1,0,0,0
698067,1,1,0,1,2
698068,1,1,0,0,0
698069,1,1,0,0,0
698072,1,2,0,0,0
698073,1,1,0,0,0
698074,1,1,0,0,23
698075,1,1,0,0,0
698076,1,1,0,2,0
698077,1,1,0,0,0
698078,1,1,0,0,0
698079,1,3,0,0,0
698080,1,1,0,0,0
698083,1,1,0,0,0
698084,1,1,0,0,4
698086,1,1,0,0,0
698087,1,1,0,1,0
698088,0,1,0,0,6
698089,0,1,0,0,0
698090,0,1,0,0,0
698092,2,0,0,0,0
698093,2,0,0,1,0
698094,2,0,0,0,0
698095,2,0,0,0,0
698097,1,1,0,0,0
698098,1,1,0,0,0
698099,1,1,0,0,0
698100,1,1,0,0,0
698103,1,1,0,0,0
698104,1,1,0,0,8
698105,1,2,0,0,0
698106,1,1,0,0,0
698107,1,1,0,0,0
698108,0,2,0,0,0
698109,1,2,0,0,0
698110,1,1,1,0,0
698111,1,1,0,0,0
698112,1,1,0,0,5
698113,1,2,0,0,0
698114,1,1,0,0,0
698116,1,1,0,0,0
698119,1,1,0,0,0
698120,1,1,0,0,0
698122,1,1,0,0,0
698124,1,2,0,0,5
698125,1,2,0,0,0
698126,1,2,0,0,0
698127,1,1,0,0,2
698130,1,2,0,0,2
698131,1,1,0,0,4
698132,1,1,0,0,0
698133,1,1,0,0,6
698134,1,1,1,0,0
698135,1,1,0,1,2
698136,2,2,0,0,0
698138,3,1,0,0,0
698139,2,1,0,0,0
698140,1,1,0,0,0
698141,2,1,0,0,0
698142,0,3,0,0,3
698143,1,2,0,1,0
698144,1,2,0,0,0
698145,2,1,0,0,0
698146,1,1,0,0,0
698148,2,1,0,0,0
698149,2,1,0,0,6
698150,1,1,0,0,0
698152,1,2,0,0,0
698153,3,1,0,4,30
698154,1,2,0,0,0
698155,1,2,0,0,0
698156,1,2,0,0,0
698157,1,3,0,0,0
698158,1,1,0,0,0
698161,1,2,0,1,4
698162,1,2,0,0,0
698163,1,2,0,0,0
698164,2,2,0,0,0
698165,1,2,0,0,0
698166,1,1,0,1,4
698167,1,1,0,0,0
698168,1,1,0,0,13
698169,1,1,0,0,0
698170,1,1,0,0,0
698171,2,2,0,0,0
698172,1,1,0,0,0
698173,1,1,0,0,0
698175,1,1,0,1,0
698177,2,2,0,0,0
698178,2,2,0,0,7
698179,1,1,0,0,12
698180,1,2,0,0,0
698182,1,1,0,0,0
698183,2,2,0,0,0
698185,2,2,0,0,0
698186,2,2,0,0,3
698187,1,1,1,0,0
698189,1,0,0,0,0
698190,1,1,0,0,5
698192,1,1,0,0,0
698193,1,1,0,0,0
698194,1,1,0,0,6
698195,1,1,0,0,0
698196,1,1,0,0,10
698197,1,1,0,0,0
698198,1,1,0,0,0
698199,1,1,0,0,0
698200,1,1,1,0,0
698201,1,1,0,0,0
698202,1,1,0,0,0
698203,2,2,0,0,0
698204,3,1,0,0,7
698207,1,1,1,0,0
698208,1,1,0,0,0
698209,1,1,0,0,0
698210,1,1,0,0,0
698211,1,1,0,0,6
698212,1,1,0,0,0
698213,1,1,0,0,2
698216,2,1,0,0,0
698217,1,3,0,0,0
698218,1,1,0,0,0
698221,1,2,0,0,0
698222,1,2,0,0,0
698223,2,2,0,0,0
698225,2,2,0,0,0
698226,1,1,0,0,0
698227,2,1,0,0,0
698228,2,1,0,0,2
698229,1,1,0,0,0
698230,1,1,0,0,0
698231,1,1,0,2,0
698232,1,1,1,0,0
698233,2,1,0,0,0
698234,1,1,0,1,0
698237,2,1,0,0,0
698238,0,3,0,0,2
698239,1,1,0,0,7
698240,1,1,0,0,0
698241,1,1,0,0,0
698242,1,1,0,0,2
698243,1,1,0,0,0
698244,1,1,0,0,0
698248,1,2,0,0,0
698249,1,1,1,0,0
698250,0,2,1,0,0
698252,1,2,0,0,0
698253,1,2,0,0,0
698254,1,1,0,0,1
698255,1,3,0,0,0
698256,1,1,0,0,0
698257,2,2,0,0,15
698258,2,2,0,0,0
698259,1,2,0,0,0
698260,1,1,0,0,0
698263,1,2,0,0,0
698266,1,2,0,0,0
698267,2,1,0,0,0
698268,1,1,0,0,0
698269,1,1,0,0,0
698270,1,1,0,0,0
698271,1,1,0,0,0
698273,1,2,0,0,0
698274,2,1,0,0,0
698275,1,1,0,0,0
698277,2,2,0,0,0
698278,2,2,0,1,0
698279,1,1,0,0,5
698280,1,3,0,0,0
698281,1,3,0,0,0
698282,1,3,0,0,0
698285,1,1,0,0,2
698286,1,1,0,0,0
698287,1,1,0,0,0
698288,2,1,0,1,14
698289,1,1,0,0,0
698291,1,1,0,0,0
698292,1,1,0,0,0
698293,1,1,0,0,0
698294,1,1,0,0,0
698297,2,3,0,0,0
698299,1,2,0,0,0
698300,1,1,1,0,0
698301,1,1,0,0,0
698303,0,1,0,0,7
698304,2,0,0,0,0
698305,2,0,0,0,1
698308,1,2,1,0,0
698309,1,2,0,0,7
698310,2,1,0,0,0
698311,2,1,0,1,0
698312,0,2,0,0,0
698313,1,1,0,0,0
698314,1,1,0,0,11
698315,2,2,0,0,0
698316,2,1,0,0,25
698317,1,1,0,0,0
698318,1,1,0,0,0
698319,1,1,0,0,0
698322,1,1,0,0,0
698324,1,1,0,0,7
698325,0,1,0,0,2
698326,1,1,0,0,20
698327,1,0,0,0,0
698328,1,3,0,0,7
698329,1,1,0,1,0
698332,1,1,0,0,0
698333,0,1,0,0,0
698334,2,1,0,0,0
698335,2,1,0,0,0
698336,0,1,0,0,23
698337,2,1,0,0,2
698338,1,1,0,0,0
698339,1,1,0,0,2
698341,2,1,0,0,0
698345,1,1,0,0,0
698346,0,0,0,0,0
698347,2,0,0,2,0
698348,2,1,0,1,0
698349,1,1,0,0,0
698350,1,0,0,0,0
698352,2,1,0,0,0
698353,0,1,0,0,4
698354,1,1,0,0,0
698355,1,1,0,0,0
698356,2,0,0,0,0
698357,2,0,0,0,2
698358,1,1,0,0,20
698359,0,1,0,0,0
698362,1,1,0,0,0
698363,1,1,0,0,0
698365,2,0,0,0,7
698367,2,1,0,0,0
698368,1,1,0,0,0
698369,1,1,0,0,0
698370,1,1,1,0,0
698372,1,1,1,0,0
698373,1,1,0,1,6
698374,1,1,0,0,0
698377,0,0,0,0,3
698378,1,1,0,0,0
698379,1,1,0,0,2
698380,1,0,0,0,1
698381,1,1,0,0,0
698382,1,0,0,0,0
698383,1,2,0,0,19
698385,1,0,0,0,0
698386,1,3,0,0,0
698387,0,0,0,0,0
698389,2,0,0,0,0
698391,2,1,0,0,0
698392,1,1,0,0,0
698394,1,2,0,1,-3
698395,1,1,0,0,2
698396,1,3,0,1,0
698397,1,3,0,0,0
698398,1,1,0,0,0
698399,1,0,0,0,0
698400,1,2,0,0,0
698402,1,1,0,0,71
698406,1,2,0,1,7
698407,0,0,0,0,0
698408,1,1,0,0,0
698409,1,1,0,0,0
698410,1,0,0,0,0
698411,1,1,0,2,21
698412,1,1,0,0,0
698413,1,2,0,0,1
698414,1,1,0,0,0
698415,1,1,0,0,0
698416,1,0,1,0,0
698419,1,1,0,0,5
698420,1,1,0,0,2
698421,1,1,0,0,0
698422,2,0,0,0,0
698423,1,1,0,0,0
698424,1,1,0,0,6
698425,1,1,0,0,0
698426,1,1,0,1,0
698427,1,1,0,0,0
698430,1,1,0,0,13
698431,1,1,0,1,8
698432,1,1,0,0,0
698433,1,3,0,1,0
698437,0,1,0,0,0
698439,1,1,0,1,0
698440,1,1,0,0,0
698441,1,1,0,0,0
698442,1,1,0,0,0
698445,1,0,0,0,0
698446,1,1,0,3,0
