uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
100068,4275,700270,PIT,11,KOFF,3,2,1,25,5,3,0,0,1,16,3,0,2,0,5,0,21,PUNT
100069,4275,700277,CIN,12,PUNT,3,1,27,9,5,2,0,1,0,7,2,9,3,1,0,0,16,PUNT
100070,4275,700283,PIT,12,PUNT,4,6,54,32,12,6,2,3,0,17,6,51,6,5,0,0,68,TD
100071,4275,700297,CIN,13,KOFF,4,3,23,25,8,7,0,4,0,2,1,73,7,7,0,0,75,TD
100072,4275,700307,PIT,13,KOFF,4,0,25,25,3,1,0,0,0,4,2,0,1,0,0,0,4,PUNT
100073,4275,700311,CIN,14,PUNT,4,1,10,25,5,3,1,2,0,10,1,32,4,3,0,0,42,FUM
100074,4275,700316,PIT,14,FUM,4,1,42,54,3,1,0,0,1,2,3,0,0,0,0,5,2,PUNT
100075,4275,700321,CIN,15,PUNT,4,0,8,20,1,0,0,1,0,0,0,7,1,1,0,0,7,ENDQ
100076,4276,700323,DAL,1,KOFF,1,5,35,20,13,4,0,4,0,3,3,73,9,5,0,0,76,FG
100077,4276,700337,WAS,1,KOFF,1,2,33,25,5,2,0,1,0,9,3,28,2,1,0,0,37,PUNT
100078,4276,700343,DAL,2,PUNT,1,5,13,6,9,7,3,2,0,25,6,63,3,3,11,5,94,TD
100079,4276,700357,WAS,2,KOFF,1,3,31,25,8,7,1,4,0,21,2,54,6,5,5,5,75,TD
100080,4276,700369,DAL,3,KOFF,2,2,30,25,4,1,0,1,0,0,1,25,3,2,0,10,15,PUNT
100081,4276,700375,WAS,3,PUNT,2,1,33,25,3,0,0,0,0,1,1,-6,2,0,0,0,-5,PUNT
100082,4276,700379,DAL,4,PUNT,2,4,31,44,10,4,1,1,0,19,5,19,4,2,5,0,43,FG
100083,4276,700391,WAS,4,KOFF,2,4,8,26,12,4,1,3,0,12,2,49,9,5,0,5,56,FG
100084,4276,700405,DAL,5,KOFF,2,0,26,25,1,1,0,0,0,4,1,0,0,0,0,0,4,ENDQ
100085,4276,700407,WAS,5,KOFF,3,3,44,25,8,6,0,4,0,11,2,64,6,5,0,0,75,TD
100086,4276,700417,DAL,6,KOFF,3,5,36,25,10,8,3,2,0,45,5,30,5,3,0,0,75,TD
100087,4276,700429,WAS,6,KOFF,3,3,34,62,7,4,2,0,0,22,3,5,3,2,0,0,27,FG
100088,4276,700437,DAL,7,KOFF,3,0,27,25,2,1,1,0,0,0,1,9,1,1,0,0,9,FUM
100089,4276,700439,WAS,7,FUM,3,1,35,66,5,1,0,1,1,0,1,16,3,1,14,0,30,FG
100090,4276,700446,DAL,8,KOFF,3,2,18,30,3,0,0,0,0,-1,1,5,2,1,0,0,4,PUNT
100091,4276,700450,WAS,8,PUNT,4,2,11,21,6,3,0,2,0,3,1,70,5,2,0,0,73,INT
100092,4276,700456,DAL,9,INT,4,5,50,20,11,6,1,4,1,4,5,56,6,5,20,0,80,TD
100093,4276,700470,WAS,9,KOFF,4,2,49,25,7,3,0,1,0,3,2,16,5,3,0,0,19,DWNS
100094,4276,700477,DAL,10,DWNS,4,0,26,57,3,1,0,0,0,3,2,-2,1,0,0,0,1,PUNT
100095,4276,700481,WAS,10,PUNT,4,1,30,10,7,4,0,2,0,0,0,54,7,4,0,5,49,ENDQ
100096,4277,700490,HOU,1,KOFF,1,4,16,16,8,3,0,2,0,11,3,71,5,3,0,0,82,INT
100097,4277,700498,KC,1,INT,1,2,36,19,6,3,1,2,0,4,2,21,4,3,0,0,25,FUM
100098,4277,700504,HOU,2,FUM,1,0,7,73,1,1,0,1,1,0,0,27,1,1,0,0,27,TD
100099,4277,700507,KC,2,KOFF,1,1,49,29,3,0,0,0,0,3,2,0,1,0,5,0,8,PUNT
100100,4277,700512,HOU,3,PUNT,1,1,56,15,3,0,0,0,0,4,1,6,2,1,0,7,3,PUNT
100101,4277,700517,KC,3,PUNT,1,1,2,36,3,0,0,0,0,-1,1,0,2,0,0,0,-1,PUNT
100102,4277,700521,HOU,4,PUNT,1,2,2,23,3,0,0,0,0,0,1,-5,2,1,0,0,-5,PUNT
100103,4277,700525,KC,4,PUNT,1,1,17,66,4,0,0,0,0,0,0,-2,3,1,0,0,-2,FG
